OBJECTID,District,Route,Direction,Begin_County,Begin_Post_Mile,End_County,End_Post_Mile,Begin_Abs_Post_Mile,End_Abs_Post_Mile,Description,Length__Lane_Miles_,Occupancy_Requirement,Hours_of_Operation,Segment_Opening_Date,Comments,Shape_Length
79,7,405,NB,LA,0,LA,48.585,23.948,72.357,Orange County Line to I-5,48.409,2+,24 Hr,Orange Co LIne to Rte 710 - Feb 1998Rte 710 to Rte 110 - Oct 1998Rte 110 to 120th St - Apr 1993120th St to Century Blvd - Jan 1994Century Blvd to Rte 90 - May 2006Rte 90 to Rte 10 - Nov 2009Rte 10 to Ventura Blvd/Rte 101 - May 2014Ventura Blvd/Rte 101 to,Continuation of HOV lane from Orange County,94143.4883405145
80,7,405,SB,LA,47.855,LA,0,71.627,23.948,I-5 to Orange County Line,47.679,2+,24 Hr,Route 5 to Route 101 - Oct 1996Rte 101 to Waterford (0.4 mi s/of Montana Ave) - Jan 2002Waterford to Santa Monica Blvd - Aug 2007Santa Monica Blvd to Rte 10 - Nov 2009Rte 10 to Rte 90 - Nov 2009Rte 90 to Century Blvd - May 2006Century Blvd to 120th St - ,Continues into Orange County,92757.9344694544
81,7,605,NB,LA,R0.000,LA,R19.838,2.052,21.89,Orange County Line to I-10,19.838,2+,24 Hr,Orange Co Line To South St - Mar 2001South St to Telegraph Rd - Apr 1997Telegraph Rd to Rte 10 - Apr 1998,Continuation of HOV lane from Orange County,38575.944239267
82,7,605,SB,LA,20.712,LA,R0.000,22.764,2.052,I-10 to Orange County Line,20.712,2+,24 Hr,Rte 10 to Telegraph Rd - Apr 1998Telegraph Rd to South St- Apr 1997South St to 0.7 mi N/of Spring St OC - Mar 20010.7 mi N/of Spring St OC to Orange Co Line - Dec 2014,Continues into Orange County,40299.9611294914
83,8,10,EB,SBD,0,SBD,8.267,46.765,55.032,Los Angeles County Line to Haven Ave,8.267,2+,24 Hr,Jan-00,Continuation of HOV lane from Los Angeles County.  In construction to convert to two Express Lanes in each direction.,16067.968381855
84,8,10,WB,SBD,8.518,SBD,0,55.283,46.765,Haven Ave to Los Angeles County Line,8.518,2+,24 Hr,Jan-00,Continues into Los Angeles County.  In construction to convert to two Express Lanes in each direction.,16541.6928570482
85,8,60,EB,SBD,R0.000,RIV,12.684,30.597,52.964,Los Angeles County Line to West Jct I-215,22.367,2+,24 Hr,01/1997SBD/RIV Co Line to Valley Way - 01/2008Valley Way to SR-60/SR-91/I-215 (west) IC -06/2001,Continuation of HOV lane from Los Angeles CountyContinues onto Route 215,43367.0690273171
86,8,60,EB,RIV,R12.064,RIV,19.634,53.278,60.541,East Jct I-215 to Redlands Blvd,7.263,2+,24 Hr from I-215 to Day StM-F06:00-10:0015:00-19:00,06/201402/2003,Continuation of HOV lane from Route 215,13996.9390113756
87,8,60,WB,RIV,20.134,RIV,R11.750,61.041,52.964,Redlands Blvd to East Jct I-215,8.077,2+,M-F06:00-10:0015:00-19:0024 Hr from Day St to I-215,02/200306/2014,Continues onto Route 215,15622.6631453262
88,8,60,WB,RIV,12.426,SBD,R0.000,52.706,30.597,West Jct I-215 To Los Angeles County Line,22.109,2+,24 Hr,SR-60/SR-91/I-215 (west) IC to Valley Way - 06/2001Valley Way to SBD/RIV Co Line -01/200801/1997,Continuation of HOV lane from Route 215,43050.2854674986
89,8,71,NB,SBD,R8.447,SBD,R1.138,13.397,6.088,Riverside County Line to Los Angeles County Line,7.309,2+,24 Hr,Jan-98,,14217.8337914601
90,8,71,SB,SBD,R0.337,SBD,R7.416,5.303,12.366,Los Angeles County Line to north of Butterfield Ranch Rd,7.063,2+,24 Hr,Oct-98,,13758.5896239298
91,8,91,WB,RIV,22.068,RIV,8.096,59.412,45.44,I-215 to 0.7 mi e/of I-15                                ,13.972,2+,24 Hr,Jct Rte 215 to Madison St -02/2016Mary St UC to Magnolia Ave -02/1996Magnolia Ave to I-15 -10/1992,Continuation from Route 215,27230.5568494562
92,8,210,EB,SBD,0,SBD,21.289,52.439,73.728,Los Angeles County Line to I-215,21.289,2+,24 Hr,SBD/LA  Co Line to Sierra Ave -11/2002Sierra Ave to I-215 - 07/2007,Continuation of HOV lane from Los Angeles County.,41400.3410027048
93,8,210,WB,SBD,21.479,SBD,0,73.918,52.439,I-215 to Los AngelesCounty Line,21.479,2+,24 Hr,I-215 to Sierra Ave -07/2007Sierra Ave to SBD/LA Co Line-11/2002,Continues into Los Angeles County,41700.9554480525
94,8,215,NB,RIV,38.782,RIV,R42.797R,30.449,34.771,South Jct SR-60 to North Jct SR-60/SR-91,4.322,2+,24 Hr,East junction Rte 60 to Box Springs Road - 06/2014Box Springs Rd to University Ave - 09/2008University Ave to Jct Rtes 60/91/215 - 06/2001,Continuation from Route 60Continues onto Route 60,7785.27214974212
95,8,215,NB,RIV,R43.300R,SBD,10.033,35.274,47.275,North Jct SR-60/SR-91 to SR-210,12.001,2+,24 Hr,Rte 60/91 to Orange Show Rd - 05/2015Orange Show Road to Mill Street - 07/2011Mill St to Jct Rte 210 - 01/2014,Continuation from Route 91,23344.5651778795
96,8,215,SB,SBD,9.948,RIV,43.679,47.19,35.588,SR-210 to North Jct SR-60/SR-91,11.602,2+,24 Hr,Rte 210 to 16th St -01/201416th St to Mill St -12/2013Mill St to Orange Show Rd - 07/2011Orange Show Road to Rte 60 - 06/2015,Continues onto Route 91,22568.2436796436
97,8,215,SB,RIV,R42.797L,RIV,R38.404,34.771,30.071,North Jct SR-60/SR-91 to South Jct SR-60,4.7,2+,24 Hr,Jct Rtes 60/91/215 to University Ave  -06/2001University Ave to Box Springs Rd - 09/2008Box Springs Rd to Jct Rte 60 - 06/2014,Continuation from Route 60Continues onto Route 60,9049.48500344156
98,10,5,NB,SJ,25.284,SJ,31.936,470.561,477.213,Charter Way to S/of Hammer Ln,6.652,2+,M-F06:00-09:0015:00-18:00,15-Dec-16,EA 10-0G4704,13599.6484156112
99,10,5,SB,SJ,32.471,SJ,25.319,477.748,470.596,Hammer Ln to Charter Way,7.152,2+,M-F06:00-09:0015:00-18:00,15-Dec-16,EA 10-0G4704,14626.5477044083
100,11,5,NB,SD,R0.305,SD,R0.335,0,0.03,"San Ysidro Port of Entry
 Lanes # 9 -12                                              ",0.12,3+,M - F05:00 - 18:00,Nov-96,These lanes reside on federal land (GSA).  Lanes extend south into Mexico.,59.5361662767078
101,11,5,NB,SD,R0.305,SD,R0.335,0,0.03,"San Ysidro Port Of Entry
Lane #1                                              ",0.03,Buses                ,24 Hr,Jul-73,This lane resides on federal land (GSA).  This lane extends south into Mexico.,59.5361662767078
102,11,5,NB,SD,R31.188,SD,R51.2,30.864,50.876,I-805 to Rte 78,20.012,2+,24 Hr,Rte 805 to Via De La Valle - Sep 2000Via De la Valle to Manchester Ave - Jul 2008Manchester Avenue to Palomar Airport Rd. - Feb 2022Palomar Airport Rd to Rte 78 - Jul 2023,Continuation of HOV lane from Rte 805,38547.8207161114
103,11,5,SB,SD,R51.2,SD,R30.345,50.876,30.021,Rte 78 to 0.8 mi N/of I-805,20.855,2+,24 Hr,Lomas Santa Fe to Via De La Valle - Jul 2008Via De La Valle to Rte 805 - Jul 2007Palomar Airport Rd to Lomas Santa Fe Dr - Feb 2022Rte 78 to Palomar Airport Rd - Jun 2023,Continues onto Rte 805,40084.7606179532
104,11,15,NB,SD,M4.073,SD,R5.887,3.675,6.068,I-805 to I-8,2.393,Buses                ,24 Hr,18-Mar,Restricted to MTS buses only,4600.21962858059
105,11,15,SB,SD,R5.941,SD,M4.068,6.122,3.67,I-8 to I-805,2.452,Buses                ,24 Hr,18-Mar,Restricted to MTS buses only,4700.66889758923
106,11,163,NB,SD,0.637,SD,1.057,0.086,0.506,Ash St to I-5 ,0.42,Buses                ,24 Hr,Dec-75,Buses Only,755.059419010477
107,11,805,NB,SD,5.958,SD,12.95,5.809,12.801,Telegraph Canyon Rd to Market Street,7.892,2+,24 Hr,14-Mar,Mileage includes direct connector from Palomar St (0.9 mi),13384.141572695
108,11,805,SB,SD,28.654,SD,24.325,28.505,24.176,I-5 to SR-52,4.329,2+,24 Hr,Rte 5 to Mira Mesa Blvd- Mar 2014Mira Mesa Blvd to Rte 52 - Jun 2016,Continuation of HOV lane from Rte 5,8162.4247396375
109,11,805,SB,SD,13.329,SD,5.354,13.18,5.205,SR-94 to Telegraph Canyon Rd,8.275,2+,24 Hr,14-Mar,Mileage includes direct connector to Palomar St (0.3 mi),15283.3805151251
110,11,905,WB,SD,R11.737,SD,R11.737,,,"Otay Mesa Port of Entry 
Lane #14",0.06,Buses                ,06:00 - 18:00,Jan-85,These lanes reside on federal land (GSA).  Lanes extend south into Mexico.,1.94280965935399
111,12,5,NB,ORA,3.15,ORA,43.335,75.193,115.371,Ave Pico to Beach Blvd,42.038,2+,24 Hr,Ave Pico to Rte 1 - 2018Rte 1 to south of Avery Pkwy - Jul 1996South of Avery Pkwy to El Toro Rd - Oct 1997El Toro Rd to south of Alton Pkwy - Jul 1996South of Alton Pkwy to Newport Ave - Oct 1992Newport Ave to Santa Ana River - May 1996Santa Ana River t,"Mileage includes dual lane segment (PM 18.94 to PM 20.80), 1.9 ln-mi",77804.4574890407
112,12,5,SB,ORA,44.302,ORA,3.254,116.338,75.297,Artesia Blvd to Ave Pico,43.331,2+,24 Hr,Artesia Blvd to south of Broadway St OC - Jan 2001South of Broadway St OC to Santa Ana River - Sep 2000Santa Ana River to Newport Ave - May 1996Newport Ave to south of Alton Pkwy - Oct 1992South of Alton Pkwy to El Toro Rd - Jul 1996El Toro Rd to south o,"Mileage includes dual lane segment (PM 20.80 to PM 18.51), 2.3 ln-mi",79400.711851948
113,12,22,EB,ORA,R0.878,ORA,R11.723,2.335,13.284,I-405 to Grand Ave,11.649,2+,24 Hr,I-405 connector - Dec 2014I-405 to Valley View St - Dec 2014Valley View to Grand -Apr 2007,Includes direct connector from SB I-405 (0.7 ln-mi)(ORA-405-21.268 to ORA-22-R0.878),21175.5717998246
114,12,22,WB,ORA,R12.384,ORA,R1.202,13.945,2.659,0.8 mi w/of SR-55 to I-405,12.386,2+,24 Hr,Cambridge St to Springdale St - Apr 2007Springdale St to Valley View St - Dec 2014Valley View St to I-405 - Dec 2014I-405 connector - Dec 2014,Includes direct connector to NB I-405 (1.1 ln-mi) (ORA-22-R1.202 to ORA-405-21.208),21827.3127106339
115,12,55,NB,ORA,R5.592,ORA,16.275,5.422,16.087,I-405 to 0.7 mi s/of Lincoln Ave,10.665,2+,24 Hr,Nov-85,,20727.9035566042
116,12,55,SB,ORA,16.559,ORA,R6.254,16.371,6.084,0.4 mi s/of Lincoln Ave to I-405,10.287,2+,24 Hr,Nov-85,,19971.9323732905
117,12,57,NB,ORA,10.984R,ORA,R22.551,0.335,11.817,I-5 to Los Angeles County Line,11.782,2+,24 Hr,Rte 5 direct connector - May 1996Rtes 5/22 to  Lambert Rd -Jun 1992Lambert Rd to  Los Angeles Co Line - Aug 1997,Continues into Los Angeles County. Mileage includes direct connector from Rte 5 (0.3 ln-mi) (ORA-5-34.112 to ORA-57-10.984),22560.8299743875
118,12,57,SB,ORA,R22.551,ORA,10.917L,11.817,0.268,Los Angeles County Line to I-5,11.849,2+,24 Hr,Los Angeles Co Line to Lambert Rd- Aug 1997Lambert Rd to Rtes 5/22 -Jun 1992Rte 5 direct connector - May 1996,Continuation of HOV lane from Los Angeles County. Mileage includes direct connector to Rte 5 (0.3 ln-mi) (ORA-57-10.917 to ORA-5-34.112),22645.9412902399
119,12,91,EB,ORA,R0.000,ORA,8.15,14.739,26.523,Los Angeles County Line to Tustin Avenue,11.784,2+,24 Hr,,ORA-91-R4.044 =ORA-91-0.410,22817.349248663
120,12,91,WB,ORA,8.123,ORA,R0.000,26.496,14.739,Tustin Ave to Los Angeles County Line,11.757,2+,24 Hr,,ORA-91-R4.044 =ORA-91-0.410,22844.8283675613
121,12,405,NB,ORA,0.609,ORA,24.178,0.379,23.948,I-5 to Los Angeles County Line,26.541,2+,24 Hr,Rte 5 direct connector - Jul 1996Rte 5 to north of Irvine Ctr Dr - Jul 1996North of Irvine Ctr Dr to Rte 73 - May 1991Rte 73 to 405/605 Sep - Jan 1989405/605 Sep to Los Angeles Co. Line - Feb 1998 ,Continues into Los Angeles County. Mileage includes direct connector from Rte 5 (0.9 ln-mi).(ORA-5-20.801 to ORA-405-0.609)Mileage includes dual lane lane segment (PM 21.208 to 23.280) (2.1 mi),45573.1551907198
122,12,405,SB,ORA,24.178,ORA,0.609,23.948,0.379,Los Angeles County Line to I-5,26.346,2+,24 Hr,Los Angeles Co. Line to 405/605 Sep - Feb 1998405/605 Sep to Rte 73 - Jan 1989Rte 73 to north of Irvine Ctr Dr - May 1991North of Irvine Ctr Dr to Rte 5 - Jul 1996Rte 5 direct connector - Jul 1996,Continuation from Los Angeles County.Mileage includes dual lane segment (PM 23.145 to PM 21.268) (1.9 mi)Mileage includes direct connector to Rte 5 (0.9 ln-mi)(ORA-405-0.609 to ORA-5-20.801),45606.9541957184
123,12,605,NB,ORA,R0.187,ORA,R1.643,0.596,2.052,I-405 to Los Angeles County Line,2.356,2+,24 Hr,Rte 405 direct connector - Dec 2014Aug 2005,Mileage includes direct connecto from I-405 (ORA-405-23.280 to ORA-605-R0.187)(0.9 mi)Continues into Los Angeles County,2864.06903742426
124,12,605,SB,ORA,R1.643,ORA,R0.209,2.052,0.618,Los Angeles County Line to I-405,2.534,2+,24 Hr,"Dec 6,2014",Mileage includes direct connecto from I-405 (ORA-605-R0.209 to ORA-405-23.145)(1.1 mi),2760.78022342813
